matric_pct,inter_pct,entry_test_score,eligibility_score,budget,program,university_tier,university_type,admission_chance
57,99,47,70.8,1046969,LLB,1,Private,Low
73,84,62,74.1,2266802,Economics,2,Private,Medium
60,56,46,54.2,1144505,Agriculture,3,Government,Medium
67,72,88,75.3,1141023,Media Studies,1,Private,Low
80,88,86,85.0,950167,Media Studies,1,Government,High
69,86,77,78.2,771816,LLB,2,Private,Medium
82,91,98,90.4,1293160,Data Science,1,Private,Medium
59,60,93,69.6,518447,BBA,1,Government,Low
93,62,89,79.4,1426116,Mechanical Engineering,3,Private,High
97,53,97,79.4,1992345,Electrical Engineering,1,Private,Low
66,59,73,65.3,1664621,Software Engineering,1,Government,Low
53,65,44,55.1,2107354,Food Science,1,Private,Low
69,61,38,56.5,1773308,Computer Science,1,Government,Low
70,82,63,72.7,1356642,Computer Science,2,Private,Low
45,47,66,52.1,759847,Computer Engineering,2,Private,Low
86,92,38,74.0,1139167,Computer Science,3,Government,High
97,67,75,78.4,962152,Food Science,2,Private,Medium
87,72,51,70.2,2025966,Cyber Security,1,Government,Medium
63,100,34,69.1,1818612,Computer Engineering,1,Private,Low
68,48,96,68.4,2058397,BBA,3,Private,High
95,86,57,80.0,613176,BBA,1,Government,Medium
63,100,83,83.8,1710998,BBA,2,Government,High
77,88,84,83.5,1210368,Mechanical Engineering,2,Private,High
45,65,47,53.6,2021740,LLB,3,Government,Medium
48,98,30,62.6,1652423,Psychology,3,Private,Medium
88,78,68,78.0,1463023,Cyber Security,1,Private,Medium
71,63,95,75.0,2202196,Software Engineering,1,Private,Medium
80,58,30,56.2,2133804,Electrical Engineering,3,Private,Medium
55,61,57,58.0,1731951,Information Technology,1,Private,Low
77,45,81,65.4,1505033,Data Science,1,Private,Medium
100,66,37,67.5,1260059,LLB,1,Private,Medium
56,95,70,75.8,2239481,Cyber Security,2,Government,High
67,98,75,81.8,1909257,Data Science,1,Government,Medium
51,66,74,63.9,779570,Computer Science,2,Government,Medium
63,76,80,73.3,1623893,Civil Engineering,3,Government,High
45,51,75,56.4,1713426,Data Science,3,Government,Low
98,86,77,86.9,1684391,Artificial Intelligence,1,Government,Medium
84,56,38,59.0,2049738,Accounting & Finance,2,Private,Low
68,76,45,64.3,1360254,Economics,1,Government,Low
51,85,30,58.3,1642633,BBA,1,Private,Low
99,87,41,76.8,671507,Media Studies,1,Private,Low
83,63,69,70.8,533272,Data Science,1,Government,Medium
67,72,84,74.1,543201,Food Science,1,Government,Low
76,99,58,79.8,713035,Electrical Engineering,1,Private,Low
83,56,54,63.5,2028959,Computer Science,2,Government,Medium
54,61,30,49.6,1959396,Accounting & Finance,3,Private,Low
69,74,36,61.1,1410707,Food Science,1,Government,Low
90,91,48,77.8,1388609,LLB,3,Private,High
47,89,100,79.7,2001831,Information Technology,1,Private,Medium
75,67,71,70.6,1983176,Cyber Security,2,Private,Low
60,50,94,66.2,1341418,Agriculture,3,Government,Medium
99,51,68,70.5,1756869,Food Science,2,Private,Medium
49,89,92,77.9,636338,LLB,1,Private,Low
50,67,51,57.1,1026790,Electrical Engineering,3,Government,Medium
47,54,100,65.7,1445567,Mechanical Engineering,3,Private,High
65,94,99,86.8,2151357,Mechanical Engineering,1,Government,High
88,81,71,80.1,2122692,Artificial Intelligence,1,Government,Low
73,52,89,69.4,554565,Information Technology,3,Government,Medium
82,53,53,61.7,1614443,Agriculture,1,Private,Low
50,63,90,67.2,2241897,Marketing,3,Private,High
89,72,75,78.0,635388,Computer Engineering,1,Private,Low
66,46,33,48.1,1623961,Computer Engineering,2,Private,Low
56,88,57,69.1,1413360,Computer Engineering,1,Government,Low
71,61,59,63.4,1405796,BBA,3,Private,Medium
45,93,85,76.2,1609023,LLB,2,Government,High
76,83,89,82.7,2253956,Marketing,1,Private,High
91,78,53,74.4,1251069,Computer Engineering,2,Government,Medium
82,67,77,74.5,1817516,Electrical Engineering,1,Government,Medium
59,66,68,64.5,2127120,Civil Engineering,3,Government,Low
93,71,37,67.4,704646,Software Engineering,3,Private,Medium
46,56,49,50.9,700970,Artificial Intelligence,2,Government,Low
85,81,58,75.3,1252012,Accounting & Finance,1,Private,Medium
53,74,59,63.2,1945721,Artificial Intelligence,2,Government,Low
58,99,86,82.8,675889,Computer Engineering,2,Government,Medium
53,75,74,68.1,1534940,Data Science,3,Government,High
72,88,48,71.2,864767,Electrical Engineering,3,Government,High
72,71,78,73.4,919938,Marketing,2,Private,Low
98,50,71,70.7,1297204,BBA,1,Private,Low
53,92,34,62.9,767111,Economics,1,Private,Low
63,64,34,54.7,939821,Economics,2,Private,Low
62,80,99,80.3,1065233,Computer Engineering,1,Government,Medium
76,76,82,77.8,1096865,Accounting & Finance,1,Government,Medium
75,82,34,65.5,887860,Agriculture,2,Government,Medium
74,81,88,81.0,922545,Civil Engineering,3,Government,High
57,53,68,58.7,568806,Computer Science,3,Private,Medium
48,60,63,57.3,2230419,Information Technology,1,Private,Low
85,90,59,79.2,1272631,Psychology,1,Private,Medium
57,59,65,60.2,1053984,Cyber Security,3,Private,Medium
60,64,88,70.0,1176070,BBA,1,Private,Low
99,98,78,92.3,804361,Psychology,3,Government,High
71,89,97,86.0,1770590,Accounting & Finance,3,Private,High
82,88,85,85.3,1623848,Civil Engineering,3,Government,High
98,91,40,77.8,1926384,BBA,3,Private,High
75,100,68,82.9,580413,Civil Engineering,3,Private,High
62,58,37,52.9,1533034,Economics,2,Private,Low
51,62,89,66.8,1076836,Mechanical Engineering,2,Private,Medium
97,51,41,61.8,599661,Data Science,1,Private,Low
99,87,73,86.4,721668,Cyber Security,3,Government,High
47,97,48,67.3,2113689,Agriculture,2,Private,Low
80,89,66,79.4,1454164,Psychology,1,Private,Medium
66,45,30,46.8,1539070,Electrical Engineering,2,Private,Low
77,97,72,83.5,2187391,Cyber Security,3,Government,Medium
57,75,78,70.5,1418520,Computer Science,1,Government,Medium
100,65,52,71.6,1315665,Food Science,3,Private,Medium
70,82,97,82.9,635179,LLB,1,Private,Low
68,48,82,64.2,1060092,Information Technology,1,Private,Low
87,90,59,79.8,1885128,Agriculture,1,Private,Medium
94,96,52,82.2,557542,Data Science,3,Private,High
95,58,54,67.9,1907633,Agriculture,1,Private,Medium
60,62,63,61.7,1277706,LLB,3,Private,Medium
55,82,46,63.1,1600250,Accounting & Finance,3,Government,Medium
50,45,86,58.8,1152836,Mechanical Engineering,1,Government,Low
72,86,67,76.1,1089480,Information Technology,1,Government,Medium
95,91,82,89.5,547695,Mechanical Engineering,2,Government,Low
79,66,74,72.3,1162244,Artificial Intelligence,3,Private,High
98,48,37,59.7,1640850,Media Studies,3,Government,Low
69,85,64,73.9,1629143,Economics,3,Private,Medium
95,89,38,75.5,1774303,Accounting & Finance,3,Private,High
68,52,32,50.8,1692476,Mechanical Engineering,3,Government,Medium
78,73,41,64.9,566451,Agriculture,2,Private,Medium
73,55,34,54.1,1092701,Accounting & Finance,2,Government,Low
69,86,94,83.3,1988144,Computer Engineering,3,Private,High
86,63,57,68.1,1468876,Accounting & Finance,2,Government,Medium
84,82,57,75.1,1903675,Information Technology,3,Private,High
84,53,76,69.2,1592617,Computer Engineering,2,Government,Medium
77,46,58,58.9,1813679,Psychology,3,Private,Medium
61,75,80,72.3,1896266,Media Studies,1,Government,Medium
52,81,74,70.2,782751,BBA,1,Government,Medium
57,94,69,75.4,941523,LLB,1,Private,Low
90,66,50,68.4,1340052,Food Science,1,Private,Medium
82,76,80,79.0,1307633,Information Technology,3,Government,Medium
47,55,98,65.5,603723,Economics,3,Government,High
74,79,49,68.5,1138333,Computer Science,2,Government,Medium
48,65,91,67.7,1352704,Computer Engineering,3,Government,High
58,86,37,62.9,863352,Economics,1,Private,Low
67,90,47,70.2,868398,Electrical Engineering,3,Private,High
92,61,61,70.3,1456919,Mechanical Engineering,3,Government,High
58,84,40,63.0,777774,Agriculture,2,Private,Medium
65,97,33,68.2,627476,Agriculture,2,Government,Low
82,60,67,68.7,955314,Mechanical Engineering,3,Private,High
79,48,89,69.6,1488042,BBA,2,Private,Medium
100,48,49,63.9,2089310,Psychology,1,Private,Low
84,74,95,83.3,1751803,Data Science,3,Government,Medium
71,67,64,67.3,1706439,Information Technology,3,Government,High
74,75,51,67.5,1698258,Civil Engineering,2,Private,Medium
91,57,64,69.3,531113,Cyber Security,2,Government,Medium
95,74,78,81.5,1747750,Information Technology,2,Government,High
89,95,99,94.4,2187748,Electrical Engineering,2,Government,High
71,73,62,69.1,2259507,Software Engineering,1,Government,Low
79,87,64,77.7,2137542,LLB,3,Government,Medium
85,94,95,91.6,1872058,Cyber Security,2,Government,High
75,68,92,77.3,1048022,Psychology,2,Private,High
70,90,85,82.5,1307356,Agriculture,1,Private,Medium
81,85,49,73.0,1226564,Agriculture,1,Private,Low
81,88,79,83.2,1646657,Food Science,2,Private,High
97,94,87,92.8,2283830,Data Science,3,Government,High
90,82,47,73.9,1935331,LLB,3,Government,High
55,61,62,59.5,1158260,Media Studies,2,Private,Low
90,69,91,81.9,2199620,Electrical Engineering,1,Private,High
78,67,35,60.7,1348545,Economics,2,Government,Medium
62,75,54,64.8,1939082,Software Engineering,1,Government,Low
87,49,40,57.7,1866143,BBA,3,Government,Medium
86,81,64,77.4,930084,Accounting & Finance,1,Private,Low
45,81,72,67.5,1716185,Computer Engineering,3,Government,High
97,77,77,83.0,971926,Data Science,3,Private,High
85,46,32,53.5,1293375,Media Studies,2,Private,Low
57,58,77,63.4,1641731,BBA,3,Private,Medium
53,89,77,74.6,1311735,Marketing,2,Government,Medium
71,76,62,70.3,1020461,Civil Engineering,1,Private,Low
64,75,86,75.0,1379085,BBA,1,Private,Medium
57,58,59,58.0,710424,Cyber Security,3,Private,Medium
61,66,47,58.8,826963,Accounting & Finance,2,Private,Low
83,72,67,73.8,1880836,Agriculture,1,Government,Medium
82,86,58,76.4,1545021,LLB,1,Private,Low
53,69,31,52.8,1767751,Marketing,1,Government,Low
89,82,38,70.9,2184924,Civil Engineering,3,Government,High
87,59,70,70.7,980438,Cyber Security,3,Private,High
54,100,45,69.7,1280511,Mechanical Engineering,3,Private,High
90,64,51,67.9,504679,Data Science,2,Government,Medium
51,90,82,75.9,632919,Computer Engineering,3,Government,High
100,81,36,73.2,1413749,Food Science,3,Private,High
85,87,79,84.0,1178367,Software Engineering,1,Private,Low
60,58,96,70.0,1123199,Computer Science,2,Government,Medium
76,86,70,78.2,820680,Mechanical Engineering,2,Government,Medium
55,87,89,78.0,1165200,Accounting & Finance,2,Private,High
79,79,31,64.6,1177493,Food Science,1,Private,Low
56,58,72,61.6,716103,Data Science,2,Government,Medium
45,51,53,49.8,1161758,Software Engineering,2,Government,Low
55,97,92,82.9,1286747,Agriculture,3,Private,High
55,59,79,63.8,2147058,Software Engineering,1,Private,Low
53,93,73,75.0,790773,Artificial Intelligence,2,Private,Medium
46,57,85,62.1,1950712,Computer Science,2,Private,Medium
72,59,51,60.5,630693,Artificial Intelligence,3,Private,Low
91,69,67,75.0,1453023,Economics,3,Private,High
78,58,94,74.8,885555,Civil Engineering,3,Private,High
72,79,98,82.6,2048447,Food Science,2,Government,High
98,75,53,75.3,1085988,Food Science,1,Private,Low
52,59,57,56.3,608641,Agriculture,1,Government,Low
59,61,32,51.7,1388015,Artificial Intelligence,1,Private,Low
65,53,31,50.0,1671436,Accounting & Finance,1,Government,Low
84,78,46,70.2,2208618,Agriculture,3,Private,Medium
90,53,43,61.1,1402932,Mechanical Engineering,2,Private,Low
67,88,63,74.2,2085301,Computer Science,3,Government,High
56,73,48,60.4,2112828,Psychology,3,Government,Medium
90,96,52,81.0,2200599,Agriculture,3,Government,High
60,91,77,77.5,702788,Civil Engineering,1,Government,Low
96,97,71,88.9,1223706,Psychology,1,Private,Medium
89,82,66,79.3,792200,Information Technology,3,Government,High
53,60,61,58.2,2118210,Electrical Engineering,1,Government,Low
68,69,57,65.1,2181095,Software Engineering,1,Government,Low
49,47,53,49.4,1620002,Mechanical Engineering,3,Private,Low
71,94,81,83.2,729987,Electrical Engineering,1,Private,Low
87,67,76,75.7,743366,Cyber Security,1,Private,Low
52,47,99,64.1,832219,Computer Engineering,1,Private,Low
81,67,58,68.5,1800900,Marketing,3,Private,High
61,64,90,70.9,658843,Information Technology,2,Private,Medium
84,59,93,76.7,2106744,Computer Science,2,Private,High
85,98,34,74.9,1444022,Food Science,1,Private,Medium
94,83,78,84.8,596018,LLB,2,Private,Medium
48,57,77,60.3,2201701,Computer Engineering,3,Government,Medium
90,76,93,85.3,1587183,BBA,1,Government,High
75,86,96,85.7,814388,Agriculture,1,Government,High
84,47,52,59.6,1515425,Artificial Intelligence,2,Government,Low
76,90,32,68.4,2294535,Computer Engineering,3,Government,High
57,56,62,58.1,1656995,LLB,2,Private,Low
95,88,82,88.3,2185770,Cyber Security,2,Private,High
59,89,78,76.7,2090383,Mechanical Engineering,3,Private,Medium
85,86,65,79.4,1312416,LLB,2,Private,Medium
86,83,85,84.5,2157268,Marketing,3,Government,High
93,98,88,93.5,1675185,Food Science,1,Government,Medium
97,46,63,66.4,1219871,Cyber Security,3,Government,High
64,53,33,50.3,2274923,Computer Science,3,Private,Low
56,79,63,67.3,1302926,Software Engineering,3,Government,High
64,87,76,76.8,706499,Artificial Intelligence,1,Government,Medium
56,85,48,65.2,1081291,Data Science,1,Government,Low
67,56,92,70.1,1386192,Information Technology,3,Private,High
72,73,64,70.0,1784327,Media Studies,2,Government,Medium
63,86,54,69.5,966596,Data Science,1,Private,Low
94,66,83,79.5,1475434,Software Engineering,1,Private,Low
89,79,91,85.6,1827917,BBA,1,Government,Medium
99,75,39,71.4,1351252,Artificial Intelligence,2,Private,Medium
58,72,71,67.5,1190963,Media Studies,2,Government,Medium
48,93,72,73.2,2037057,Psychology,2,Private,Medium
64,47,66,57.8,1173652,Information Technology,3,Government,Low
89,57,50,64.5,1817846,Accounting & Finance,2,Government,Medium
49,98,94,82.1,669805,Electrical Engineering,2,Government,Low
61,66,58,62.1,1014717,Computer Engineering,3,Government,Medium
65,79,71,72.4,2208142,Mechanical Engineering,1,Private,Low
88,62,78,74.6,1618794,Civil Engineering,1,Private,Medium
88,77,64,76.4,1598013,Mechanical Engineering,2,Government,High
73,72,68,71.1,2238516,Artificial Intelligence,1,Government,Low
75,83,73,77.6,946056,Marketing,3,Private,High
85,62,34,60.5,1038341,Media Studies,3,Private,Low
95,95,33,76.4,787789,Psychology,2,Government,Medium
60,82,45,64.3,759049,Accounting & Finance,1,Government,Low
94,72,65,76.5,1480950,Food Science,3,Government,High
76,74,51,67.7,1137191,Accounting & Finance,1,Private,Low
88,59,53,65.9,671004,Computer Engineering,1,Private,Low
74,97,83,85.9,1764996,Artificial Intelligence,3,Government,High
97,60,62,71.7,592109,Psychology,2,Private,Medium
48,91,59,68.5,1272260,Economics,3,Private,High
53,70,81,68.2,1226017,Artificial Intelligence,1,Government,Low
84,98,60,82.4,1812255,Artificial Intelligence,3,Private,High
74,55,46,58.0,1421667,Data Science,1,Private,Low
52,71,69,64.7,1520164,Data Science,3,Government,Medium
83,73,60,72.1,1324929,Civil Engineering,3,Government,High
73,56,88,70.7,1795420,Data Science,1,Private,Medium
90,99,96,95.4,1601064,Agriculture,2,Government,High
69,85,47,68.8,1718650,Media Studies,1,Private,Medium
80,64,64,68.8,1027392,Economics,3,Private,High
85,50,98,74.9,1653772,LLB,3,Government,High
61,64,55,60.4,1023568,Computer Engineering,2,Private,Medium
96,58,61,70.3,1844772,Software Engineering,1,Government,Medium
78,81,30,64.8,751959,Marketing,2,Private,Medium
82,52,40,57.4,807766,Computer Engineering,2,Private,Low
94,79,99,89.5,1488530,Mechanical Engineering,2,Private,High
73,61,85,71.8,2276204,Software Engineering,1,Government,Low
70,49,46,54.4,1560951,Psychology,3,Private,Low
84,55,59,64.9,1630444,Data Science,2,Private,Low
53,54,53,53.4,1033021,Computer Science,2,Government,Low
77,85,84,82.3,1136834,Food Science,3,Government,High
64,98,63,77.3,1497599,Computer Engineering,1,Government,Low
73,92,55,75.2,1759063,Data Science,2,Private,High
82,72,79,77.1,1074057,Economics,2,Government,High
87,87,88,87.3,1030534,BBA,3,Government,High
82,74,67,74.3,1133649,Software Engineering,2,Government,Medium
71,48,85,66.0,1326061,Software Engineering,1,Government,Low
54,56,67,58.7,2126275,Agriculture,1,Government,Low
80,72,78,76.2,950218,BBA,1,Private,Low
94,97,45,80.5,1899111,Psychology,3,Government,High
72,97,50,75.4,1634817,Civil Engineering,3,Government,High
50,78,79,69.9,1982399,Psychology,2,Government,Low
61,94,44,69.1,1486558,Psychology,2,Government,Medium
82,67,59,69.1,893758,Marketing,3,Government,Medium
74,83,80,79.4,2129022,Artificial Intelligence,1,Private,Medium
99,88,56,81.7,893796,Computer Engineering,3,Private,High
46,83,50,62.0,1520619,Economics,2,Government,Medium
70,81,64,72.6,938889,Economics,2,Private,Medium
54,89,66,71.6,1328397,Data Science,3,Government,High
96,93,33,75.9,1971403,Computer Science,2,Private,Medium
97,63,79,78.0,962957,Data Science,3,Private,High
66,82,44,65.8,580007,Agriculture,1,Government,Low
63,61,86,69.1,1684724,Artificial Intelligence,3,Government,High
79,82,89,83.2,2018401,Marketing,1,Private,Medium
89,56,41,61.4,1283502,BBA,1,Private,Low
56,54,100,68.4,615769,BBA,1,Government,Low
73,86,95,84.8,818735,Electrical Engineering,1,Government,Medium
67,76,70,71.5,787247,Economics,3,Private,High
82,94,68,82.6,530170,Food Science,3,Private,Medium
61,85,42,64.9,787135,Accounting & Finance,1,Government,Low
79,100,55,80.2,631856,Marketing,2,Private,Medium
45,78,44,57.9,1164101,Cyber Security,1,Private,Low
56,70,38,56.2,1823211,Electrical Engineering,1,Government,Low
69,77,64,70.7,1929572,Media Studies,1,Government,Low
76,77,80,77.6,1620687,Civil Engineering,2,Government,High
91,64,42,65.5,891592,Food Science,2,Private,Low
56,71,93,73.1,791834,Data Science,3,Private,High
84,69,38,64.2,2112257,Mechanical Engineering,3,Government,Medium
85,85,75,82.0,746393,LLB,1,Government,Medium
50,89,83,75.5,1222654,Electrical Engineering,1,Government,Low
73,80,82,78.5,1464556,BBA,3,Private,High
76,83,56,72.8,2161536,Software Engineering,3,Government,High
78,71,89,78.5,1956768,Computer Science,2,Private,High
98,68,72,78.2,2238468,Computer Engineering,1,Private,Medium
59,79,39,61.0,1303967,Mechanical Engineering,2,Private,Medium
94,89,69,84.5,1856608,Software Engineering,1,Government,Medium
86,73,74,77.2,742185,Cyber Security,1,Private,Low
76,84,44,69.6,1482290,Accounting & Finance,2,Private,Medium
63,60,61,61.2,1147896,Computer Science,3,Government,Medium
66,78,98,80.4,1995030,Accounting & Finance,3,Private,High
82,50,77,67.7,2159851,LLB,2,Private,Medium
47,62,94,67.1,1579317,Software Engineering,3,Private,High
50,96,89,80.1,1805647,Mechanical Engineering,2,Government,High
65,59,95,71.6,1244736,Software Engineering,2,Government,Low
78,98,70,83.6,1712535,Psychology,1,Private,Medium
65,70,93,75.4,1197468,Computer Engineering,1,Government,Medium
70,70,69,69.7,1356964,Data Science,1,Private,Medium
79,59,71,68.6,1064588,Marketing,1,Private,Low
80,47,96,71.6,1346457,Accounting & Finance,2,Private,Medium
85,63,56,67.5,2021731,Agriculture,1,Government,Low
53,64,31,50.8,1180885,Agriculture,1,Private,Low
46,82,63,65.5,1697342,Psychology,1,Private,Medium
98,53,88,77.0,1028845,LLB,2,Government,High
78,80,60,73.4,1225163,Food Science,1,Government,Low
78,72,53,68.1,1406532,Data Science,2,Government,Medium
61,60,30,51.3,1988322,Computer Engineering,2,Government,Low
92,46,87,72.1,1325876,Food Science,2,Private,Medium
68,71,61,67.1,1010998,Cyber Security,3,Private,High
60,68,88,71.6,2094359,Computer Science,1,Government,Medium
89,65,76,75.5,2079364,Psychology,3,Private,High
99,78,86,86.7,1835743,Computer Engineering,3,Government,High
78,63,78,72.0,715155,LLB,2,Private,Medium
94,59,45,65.3,1017503,Computer Science,3,Government,High
74,89,87,83.9,1334894,Computer Science,1,Government,Medium
78,71,92,79.4,526864,Psychology,3,Private,Medium
69,62,72,67.1,606228,Information Technology,3,Government,High
77,79,62,73.3,1082212,Economics,2,Private,Medium
86,67,91,79.9,552402,Accounting & Finance,1,Private,Low
73,45,54,56.1,1917520,Electrical Engineering,1,Government,Low
62,95,46,70.4,970713,Data Science,2,Government,Medium
62,49,92,65.8,948597,Cyber Security,2,Government,Medium
58,60,64,60.6,1332121,Artificial Intelligence,1,Private,Low
98,51,89,76.5,1099109,Computer Science,1,Government,Medium
99,73,53,74.8,1006429,Artificial Intelligence,3,Government,High
66,85,94,82.0,852759,Computer Engineering,3,Government,High
82,63,38,61.2,700113,Cyber Security,1,Government,Low
76,59,79,70.1,1745507,Civil Engineering,2,Government,Medium
64,52,89,66.7,1196639,Accounting & Finance,1,Government,Low
86,59,93,77.3,713991,Accounting & Finance,2,Government,Low
51,67,45,55.6,1419969,Data Science,2,Private,Low
64,59,73,64.7,1779269,Artificial Intelligence,2,Government,Medium
71,86,79,79.4,1027677,Psychology,2,Private,High
48,61,58,56.2,1422317,BBA,2,Government,Low
86,87,54,76.8,1089966,BBA,3,Private,High
99,80,54,77.9,1338728,Artificial Intelligence,1,Private,Medium
100,85,63,82.9,964936,Agriculture,3,Government,High
66,99,83,84.3,2092940,Electrical Engineering,2,Private,Medium
65,72,68,68.7,1248968,Economics,2,Private,Medium
63,68,41,58.4,888540,Economics,3,Government,Medium
77,51,61,61.8,2179505,Agriculture,3,Private,Medium
93,62,37,63.8,1414178,Psychology,2,Private,Medium
84,77,70,77.0,1961628,Data Science,2,Private,High
66,68,100,77.0,1788867,Computer Science,1,Private,Medium
55,83,31,59.0,563944,Cyber Security,3,Government,Medium
96,69,36,67.2,1053173,BBA,1,Private,Low
81,68,62,70.1,1135777,Computer Science,3,Government,High
68,53,34,51.8,1232799,Media Studies,2,Private,Low
58,80,62,68.0,1397981,LLB,3,Private,High
62,82,64,70.6,1553438,Computer Science,1,Private,Medium
57,71,67,65.6,1738115,LLB,1,Private,Medium
57,96,67,75.6,1352736,Information Technology,1,Government,Medium
70,54,77,65.7,1665092,Information Technology,2,Government,Medium
88,54,72,69.6,1339904,Mechanical Engineering,2,Government,Medium
54,91,85,78.1,1518909,Computer Engineering,2,Private,Medium
73,94,47,73.6,1559464,Cyber Security,2,Private,Low
67,81,49,67.2,867023,Accounting & Finance,1,Government,Low
81,86,47,72.8,2264358,Food Science,3,Private,High
59,51,100,68.1,856665,Media Studies,3,Government,High
65,100,61,77.8,2272955,Economics,3,Government,High
81,48,65,63.0,2073350,Media Studies,2,Private,Medium
85,87,75,82.8,1599531,Data Science,3,Government,High
95,97,82,91.9,982945,Agriculture,3,Government,High
94,62,54,69.2,1845134,Software Engineering,2,Private,Medium
64,98,41,70.7,1866661,Civil Engineering,3,Private,High
65,66,49,60.6,1801595,Cyber Security,3,Government,Medium
49,78,88,72.3,1050018,Artificial Intelligence,3,Government,High
47,96,95,81.0,884448,Psychology,3,Government,High
72,51,98,71.4,2154251,Cyber Security,3,Government,Medium
97,59,68,73.1,581585,Economics,1,Private,Low
52,56,58,55.4,2200791,Marketing,2,Private,Low
83,67,31,61.0,753234,Civil Engineering,3,Private,Low
63,83,70,73.1,2238626,Information Technology,1,Private,Medium
67,70,38,59.5,1801352,Food Science,1,Private,Low
61,48,63,56.4,1984544,Information Technology,2,Government,Low
65,60,73,65.4,1245171,Mechanical Engineering,1,Private,Medium
67,72,76,71.7,1423674,Food Science,2,Government,Low
87,87,97,90.0,729979,Economics,1,Government,High
66,78,76,73.8,1986015,Agriculture,3,Private,High
56,50,55,53.3,1941602,Data Science,1,Private,Low
65,61,43,56.8,1295174,Agriculture,3,Private,Medium
62,68,31,55.1,1872498,Marketing,1,Private,Low
74,59,58,63.2,728153,Electrical Engineering,3,Private,Medium
46,89,91,76.7,953151,Mechanical Engineering,1,Government,Medium
45,72,98,71.7,1368340,Software Engineering,2,Private,Low
91,49,87,73.0,758503,Mechanical Engineering,1,Private,Low
72,89,88,83.6,1497380,Civil Engineering,2,Government,Medium
61,50,80,62.3,2027873,Computer Science,1,Government,Low
89,66,89,79.8,584912,Psychology,3,Private,High
52,58,75,61.3,1049719,Media Studies,1,Private,Low
76,92,76,82.4,1230706,Civil Engineering,1,Government,Medium
94,85,82,86.8,1309619,Mechanical Engineering,1,Government,High
65,58,32,52.3,1178878,Agriculture,3,Private,Medium
60,70,92,73.6,615927,Mechanical Engineering,2,Government,Low
95,59,68,72.5,776989,Cyber Security,2,Government,Low
